#roles
"student";"Estudante"
"teacher";"Tutor"
"coordinator";"Coordenador"
"institution";"Instituição"
"student";"Estudante"

#menu
"communication";"Comunicação"
"message";"Mensagem"
"forum";"Fórum"
"creation";"Criação"
"content";"Conteúdo"
"base-text";"Texto-base"
"organizer";"Organizador"
"restriction";"Restrição"
"support";"Apoio"
"notepad";"Caderno"
"faq";"FAQ"
"file";"Arquivo"
"glossary";"Glossário"
"evaluation";"Avaliação"
"selection process";"Processo seletivo"
"activity";"Atividade"
"exercise";"Exercício"
"panel";"Painel de desempenho"
"calendar";"Quadro de avisos"
"data";"Dados"
"course";"Curso"
"Course";"Curso"
"classroom";"Turma"
"user";"Usuário"
"timeline";"Linha do tempo"
"database-file";"Banco de arquivos"
"template";"Modelo"
"chat";"Chat"
"period";"Período"
"configuration";"Configuração"
"email";"E-mail"
"admin";"Administração"
"default";"Padrão"
"selection-process";"Processo seletivo"
"acl";"Acesso"
"access";"Acesso"
"plugin";"Complemento"
"print";"Versão de imprimir"
"theme";"Tema"
"appearance";"Aparência"
"options";"Opções"
"general";"Geral"
"processes";"Processos"
"payment";"Pagamento"
"minute";"minuto";"minutos"

#buttons
"previous content";"Anterior"
"next content";"Próxima"
"next";"Próxima"
"dashboard";"Painel"
"logout";"Sair"
"close";"Fechar"
"edit";"Editar"
"reply";"Responder"
"delete";"Excluir"
"Save";"Salvar"
"Search";"Procurar"
"new";"Novo"
"now";"Agora"
"New";"Novo"
"save";"Salvar"
"View all";"Ver todos"
"List of available courses";"Lista de cursos disponíveis"
"users";"Matriculados"
"back";"Voltar"
"all";"Todos"
"add";"Adicionar"
"remove";"Remover"
"remove";"Remover"
"send";"Enviar"
"openButton";"Refazer"
"finalize";"Finalizar"
"saveDraft";"Salvar Rascunho"
"sendCorrection";"Enviar para correção"
"Emit certificate";"Emitir certificado"
"Change";"Mudar"
"Approve";"Aprovar"
"Disapprove";"Reprovar"
"Quitter justified";"Desistente c/"
"Quitter not justified";"Desistente s/"
"Register";"Retornar"
"page";"Página"
"Forgot password";"Esqueceu a senha?"
"New user";"Novo usuário"
"Admin";"Administração"
"activate";"Ativar"
"desactivate";"Desativar"
"Send";"Enviar"
"Post";"Postar"
"Receive by email";"Receber por e-mail"
"Not receive by email";"Não receber por e-mail"
"Sent";"Enviadas"
"Inbox";"Caixa de entrada"
"add option";"Adicionar opção"
"question bank";"Banco de questões"
"new time restriction";"Nova restrição de tempo"
"new panel restriction";"Nova restrição de nota"
"Block";"Bloquear"
"Unblock";"Desbloquear"
"fix module";"Fixar este módulo"
"close module";"Fechar este módulo"
"uninstall";"Desinstalar"

#message
"there are no records";"Não existem registros"
"No register";"Não existem registros"
"You are not registred in a classroom. See";"Você não está matriculado em uma turma."
"want to delete?";"Deseja realmente excluir?"
"user not avaliable";"Usuário não existe."
"selection process classes";"Turmas que estão neste processo seletivo."
"Number of attempts exec";"Número de tentativas execido"
"Expired period";"Período expirado"
"minutes ago";"minuto(s) atrás"
"hours ago";"hora(s) atrás"
"seconds ago";"segundo(s) atrás"
"Sent. Wait corretion.";"Enviado. Aguarde correção."
"Finalized. See your note in panel.";"Finalizada. Veja sua nota no painel."
"Sended";"Enviado"
"Certificate emited";"Certificado emitido"
"Login failed";"Login não realizado. Dados inválidos."
"Unavailable";"Indisponível"
"Classroom unavailable";"Turma indisponível no momento."
"Student already registered in this class";"Estudante já registrado nesta turma."
"This comment was edit";"Este comentário foi editado"
"User not found";"Usuário não encontrado"
"Sent by email";"Enviar por e-mail"
"Select one message";"Selecione uma messagem"
"Select one user";"Selecione um usuário"
"restriction content, note must have more than %value%";"Conteúdo restrito, nota tem que ser maior que %value%"
"restricted content, access after %value%";"Conteúdo restrito, acesse depois de %value%"
"content expired since the %value%";"Conteúdo expirado em %value%"
"Exercise does not started. Verify the date of initiation";"Exercício não iniciado. Verifique a data de início"
"Blocked";"Bloqueado"
"Base text progress";"Progresso do texto-base"
"Parent equals current register. Select a diferent parent.";"Conteúdo pai igual ao registro atual. Selecione um pai diferente."
"Failed to delete. Forum with dependents.";"Falha ao excluir. Fórum com dependentes."
"Failed to save. Select an item.";"Falha ao salvar. Selecione um item."
"There are no records for this type.";"Não existem registros para o tipo selecionado."
"Retricted access.";"Acesso restrito."
"To access";"Para acessar realize o"
"Non-existent page.";"Página não existente."
"No XML configuration file (configuration.xml)";"Arquivo de configuração não encontrado (configuration.xml)"

#timeline
"saved a new file";"adicionou um novo arquivo"
"saved a new word in the glossary";"adicionou uma nova palavra no glossário"
"created a new FAQ";"criou uma nova FAQ"
"created a new forum";"criou um novo fórum"
"created a new activity";"criou uma nova atividade"
"created a new chat room";"criou um novo chat"
"created a new exercise";"criou um novo exercício"

#fields
"[select]";"[selecione]"
"Name";"Nome"
"Email";"E-mail"
"Password";"Senha"
"Password confirmation";"Confirmação de senha"
"new password";"Nova senha"
"new password confirmation";"Confirmação da nova senha"
"enter the code";"Informe o código"
"access denied";"Acesso negado"
"Empty captcha value";"O captcha não pode ser vazio"
"Description";"Descrição"
"Sex";"Sexo"
"Date";"Data"
"justify";"Justificativa"
"Born";"Data de nascimento"
"Address";"Endereço"
"Neighborhood";"Bairro"
"City";"Cidade"
"Landline";"Telefone fixo"
"Cell phone";"Telefone celular"
"Country";"País"
"How to know the site";"Como conheceu o site"
"Payment";"Forma de Pagamento"
"Image";"Imagem"
"Status";"Situação"
"Role";"Perfil"
"Responsible";"Responsável"
"Category";"Categoria"
"Begin";"Início"
"End";"Fim"
"Max student";"Número máximo de alunos"
"participating classes";"Turmas participantes"
"select a selective process";"Selecione um processo seletivo"
"students enrolled";"Alunos inscritos"
"pre-register";"Pré-matricular"
"cause course";"Motivo pelo qual desejo fazer este curso"
"courses add";"Cursos adicionados"
"Error pre-register";"Você já está pré-matriculado nesta turma"
"enroll students selected";"Matricular alunos selecionados"
"reject students selected";"Rejeitar alunos selecionados"
"list for course";"Listar por curso"
"Amount";"Valor"
"Parent";"Conteúdo pai"
"waiting";"Aguardando"
"accepts";"Aceito"
"rejected";"Rejeitado"
"select";"Selecionar"
"register";"Matricular"
"free";"Grátis"
"none";"Nenhum"
"Question";"Questão"
"Answer";"Resposta"
"Word";"Palavra"
"Title";"Título"
"Time";"Tempo(minutos)"
"Attempts";"Tentativas"
"Position";"Posição"
"Options";"Opções"
"Note";"Nota"
"value";"Valor"
"classes";"Turmas"
"Attemps";"Tentativas"
"Type";"Tipo"
"Hours";"Horas"
"Male";"Masculino"
"Female";"Feminino"
"Period";"Período"
"Value";"Valor"
"role";"Perfil"
"Order";"Ordem"
"Comment";"Comentário"
"Comments";"Comentários"
"public";"Público"
"protected";"Protegido"
"private";"Privado"
"Register type";"Tipo de ingresso"
"Visibility";"Visibilidade"
"payment form";"Mediante pagamento"
"exercise-T";"V"
"exercise-F";"F"
"Free note";"Nota livre"
"Folder";"Pasta"
"Text";"Texto"
"text";"Texto"

#status
"active";"Ativo"
"inactive";"Inativo"
"open";"Aberto"
"final";"Final"
"right";"Certo"
"wrong";"Errado"
"registered";"Matriculado"
"approved";"Aprovado"
"disapproved";"Reprovado"
"justified";"Desistente c/"
"not-justified";"Desistente s/"

#titles
"Message";"Mensagem"
"Forum";"Fórum"
"Content";"Conteúdo"
"Composer";"Criação"
"Organize";"Organizador"
"Restriction";"Restrição"
"Notepad";"Caderno"
"Faq";"FAQ"
"File";"Arquivo"
"Glossary";"Glossário"
"Evaluation";"Avaliação"
"Activity";"Atividade"
"Exercise";"Exercício"
"Panel";"Painel de desempenho"
"Selection process";"Processo seletivo"
"Calendar";"Quadro de avisos"
"Courses";"Cursos"
"Classroom";"Turma"
"User list";"Lista de usuários"
"last versions";"Últimas versões"
"Free";"Livre"
"Forgot";"Lembrar senha"
"Question's list";"Lista de questões"
"Exercise reply";"Exercício"
"previous";"Anteriores"
"Average";"Média"
"List";"Lista"
"Database file";"Banco de arquivos"
"Template";"Modelo"
"Certificate";"Certificado"
"Unique code";"Código de identificação"
"Finalized";"Finalizado"
"Page";"Página"
"User";"Usuário"
"Welcome";"Benvindo"
"New form";"Novo Cadastro"
"Plugin";"Complemento"
"Access Control List";"Lista de controle de acesso"
"Access";"Acesso"
"Highlight";"Destaque"
"Loading";"Carregando"
"fix";"Fixar"
"Information";"Informações"
"View profile";"Ver perfil"
"Edit profile";"Editar perfil"
"Last access";"Último acesso"
"There are no new comments";"Não existem novos comentários"
"new comment";"novo comentário";"novos comentários"
"Created";"Criado"
"to";"Para"
"other";"outro";"outros"
"New message";"Nova mensagem"
"Progress";"Progresso"
"Password recovery";"Recuperação de senha"
"Theme";"Tema"
"Available styles";"Estilos disponíveis"
"Created user";"Usuário criado"
"Multichoice";"Multipla escolha"
"multi-choice";"Multipla escolha"
"Multiselect";"Multipla seleção"
"multi-select";"Multipla seleção"
"True or false";"Verdadeiro ou falso"
"true-false";"Verdadeiro ou falso"
"Select a type";"Selecione o tipo"
"Time restriction";"Restrição de tempo"
"Panel restriction";"Restrição de nota"
"Show hierarchical";"Mostrar em hierarquia"
"Show past first";"Mostrar mais antigos primeiro"
"Show news first";"Mostrar mais novos primeiro"
"null";"Sem diretório"
